id,norm_pair,class
174048,"Foamtec will reasonably cooperate with AMFS to ensure AMFS receives from Foamex USA the pricing described in the previous sentence, and to make such books and records reasonably available as are necessary or desirable to AMFS's auditors to verify such best price.","If (a) Lessee shall fail to pay any rental payment or any other payment hereunder within five (5) days after the date when such obligation is due; or (b) Lessee shall fail to perform any other term or condition of this Lease for a period of ten (10) days after written notice thereof from Lessor to Lessee; or (c) proceedings under United States or other national or local bankruptcy law or other insolvency laws shall be instituted against Lessee, or a trustee or receiver or similar officer shall be appointed for Lessee or any of its property, or any of the Equipment shall be attached or levied upon and such proceedings shall not be vacated or fully stayed within fifteen (15) days thereof; or (d) Lessee shall make an assignment for the benefit of creditors or institute proceedings to be adjudicated a bankrupt or insolvent or admit in writing its inability to pay its debts as they become due; or (e) Lessee attempts to remove, sell, transfer, encumber, sublet or part with possession of the Equipment, or assigns or attempts to assign all or any part of this Lease or Lessee's rights hereunder; or (f) Lessee ceases doing business as a going concern, sells substantially all of its assets out of the ordinary course of business, merges or consolidates with any other person, or, if a corporation, sustains a change in the ownership of more than 20% in the aggregate of its issued and outstanding stock of any class except a change of ownership as a result of (x) a transfer to an Affiliate (as defined in the Manufacturing Agreement) or (y) a bona fide reorganization, or abandons any or all of the Equipment; or (g) Lessee is a corporation and ceases its corporate existence or good standing; or (h) Lessee has made any material misrepresentation (including the failure to disclose a material fact) under this Lease or in connection with any credit or other information submitted or furnished to Lessor, or breached 5 any warranties made by it under this Lease; or (i) any adverse change in the financial condition of Lessee or any surety or guarantor shall occur; then, in any such event, the Lessee shall be deemed to have breached this Lease and shall be in default hereunder.",0
159029,"In the event that JMI fails to replace the Material or fails to do so within the time period stated, Celgene shall have the right to demand a credit of the purchase price therefor.","In the event that JMI fails to replace the Material or fails to do so within the time period stated, Celgene may have the right to demand a credit of the purchase price therefor.",1
23429,AorTech shall use only approved suppliers listed on AorTech's approved supplier list when purchasing such material.,AorTech may use unapproved suppliers listed on AorTech's unapproved supplier list when purchasing such material.,1
63744,(a) DELIVERY.,"The Carrier shall transport such Filled Products on behalf of, and at the direction of, Chiron to the destination designated by Chiron.",0
139703,"At the end of the term of this Agreement, 7UP/RC may use the Equipment to produce Products as well as other energy drinks.","At the end of the term of this Agreement, 7UP/RC shall not use the Equipment to produce Products as well as other energy drinks.",1
188010,Medica will also be given first consideration in good faith for the manufacture of Cartridges not directly marketed by Nephros.,Medica may also be given first consideration in good faith for the manufacture of Cartridges not directly marketed by Nephros.,1
38385,"If actual Discrepancy Reports are necessary for Chiron to comply with the requirements of the Regulatory Authorities in the Territory and Chiron has submitted such request to Cubist, thereafter, Cubist shall provide with each Lot the actual Discrepancy Reports (not merely the summaries thereof).","If at any time after delivery of Filled Product to Chiron, Chiron reasonably believes that such Filled Product is not stable during its Remaining Shelflife, then Chiron shall deliver a sample of such Filled Product to Cubist and a certification that Chiron properly stored the Filled Product in question.",0
205218,(f) Medica is the rightful owner or licensee of any Intellectual Property that it may use in performing its obligations under this agreement.,"""Confidential Information"" means all data, specifications, training, and any other knowhow related to the design, development, manufacture, or performance of the Cartridge, as well as all other information and data provided by either party to the other party pursuant to this agreement in written or other tangible medium and marked as confidential, or if disclosed orally or displayed, confirmed in writing within 30 Business Days after disclosure and marked as confidential, except that the term ""Confidential Information"" does not include the following: (1) information that is or becomes generally available to the public other than as a result of a breach of this agreement by the receiving party or its Representatives; (2) information that was within the receiving party's possession or knowledge prior to its being furnished to the receiving party by or on behalf of the disclosing party, on condition that the source of that information was not bound by a confidentiality agreement with or other contractual, legal or fiduciary obligation of confidentiality to the disclosing party or any other Person with respect to that information; (3) information that is or becomes available to the receiving party on a nonconfidential basis from a source other than the disclosing party or any of its Representatives, on condition that that source was not bound by a confidentiality agreement with or other contractual, legal or fiduciary obligation of 19 confidentiality to the disclosing party or any other Person with respect to that information; or (4) information that is independently developed by the receiving party without use of Confidential Information and otherwise in a manner not inconsistent with this letter agreement.",0
92717,"In the event Ligand requests services other than Manufacturing or Packaging of Product, Cardinal Health shall provide a written quote of the fee for such additional services and Ligand shall advise Cardinal Health whether it wishes to have such additional services performed by Cardinal Health.",Professional Services Errors & Omissions Liability Insurance with per claim and aggregate limits of not less than $*** covering sums that Cardinal Health becomes legally obligated to pay as damages resulting from claims made by Ligand for errors or omissions committed in the conduct of the services outlined in the Agreements.,0
124762,"In addition, Cubist will be consulted concerning any matters that could cause a delay in completion of the Facility.","To that extent, all outstanding payments due by Cubist to DSM, will become payable at once.",0
104050,"(c) Topps shall provide to Hershey by the 1st of each month in which this Agreement is in effect a written firm purchase order for the next calendar month (the ""Purchase Order"").","In the event any revision by Topps would increase the cost of performance to Hershey hereunder, then Hershey shall have the right to adjust the pricing of the Product as necessary.",0
75671,The Company may terminate the contract without cause and at no liability to the Company.,The Company shall not terminate the contract without cause and at no liability to the Company.,1
190705,"Via Degli Artigiani, 6 41036 Medolla (MO) Italy Attention: Daniele Giubertoni MKTG & sales Manager Facsimile: 39053552605 Email: sales@medica.it (b) Nephros shall order for delivery in any given month an aggregate number of Cartridges equal to at least 90% of the final amount forecast for that month in the Rolling Forecasts (that quantity, the ""Final Forecast Quantity"").",Medica shall discuss with Nephros any Proposed Response and shall incorporate in that Proposed Response any reasonable comments provided by Nephros with respect to that Proposed Response.,0
6,"Customer shall make weekly payments via wire transfer on the following Thursday, for the sales of the Applicable Sales Period that ended approximately oneweek prior.","Customer shall not make weekly payments via wire transfer on the following Thursday, for the sales of the Applicable Sales Period that ended approximately oneweek prior.",1
2,"Should Customer request the use of a ""loaner"" truck, USF will make reasonable efforts to accommodate supplying a truck for special occasions.","Should Customer request the use of a ""loaner"" truck, USF will not make reasonable efforts to accommodate supplying a truck for special occasions.",1
9,Customer shall make arrangements through USF order department for any goods to be returned to USF.,Customer shall not make arrangements through USF order department for any goods to be returned to USF.,1
152697,"Notwithstanding anything contained herein to the contrary, WWI shall not be required to purchase any minimum quantity of the Products.","Notwithstanding anything contained herein to the contrary, WWI shall be required to purchase any minimum quantity of the Products.",1
159030,7.3 JMI will provide Celgene with the results of all assays required to be run under the Specifications.,7.3 JMI will not provide Celgene with the results of all assays required to be run under the Specifications.,1
165988,CoPacker shall deliver all the Products that WWI purchases under this Agreement to WWI F.O.B.,"No waiver by either party of any breach, default, or violation of any term, warranty, representation, agreement, covenant, condition, or provision of this Agreement shall constitute a waiver of any subsequent breach, default, or violation of the same or other term, warranty, representation, agreement, covenant, condition, or provision.",0
187997,"After filing a response with any Governmental Authority, Medica shall within 5 Business Days notify Nephros of any further contacts with that Governmental Authority with respect to that response.","After filing a response with any Governmental Authority, Medica shall not within 5 Business Days notify Nephros of any further contacts with that Governmental Authority with respect to that response.",1
139712,Purchaser shall pay 7UP/RC a deposit equal to 7UP/RC standard rate which shall be refunded to Purchaser when the shells are returned.,Purchaser may pay 7UP/RC a deposit equal to 7UP/RC standard rate which may be refunded to Purchaser when the shells are returned.,1
188146,"Subject to the terms of this agreement, Medica shall manufacture, in such quantities as Nephros orders, the Cartridge.","(c) Medica's Chief Executive Officer, or Amministratore Unico (AU), has duly authorized Medica to execute and deliver this agreement and perform its obligations under this agreement, and no other corporate proceedings of Medica are necessary with respect thereto.",0
88286,"(a) At any time up to 90 days prior to any relevant Delivery Date, Ligand may cancel a Purchase Order or request a modification of the confirmed Delivery Date, Specifications or quantity of Product (including e.g.",LIGAND By: /S/ THOMAS J. STUART By: /S/ GIAN ALIPRANDI Name: THOMAS J. STUART Name: GIAN ALIPRANDI Its: PRESIDENT MODIFIED RELEASE TECH.,0
41435,"1.41 ""QUALITY AGREEMENT"" shall have the meaning assigned to such term in Section 3.10.","No subsequent alteration, amendment, change or addition to this Supply Agreement shall be binding upon the Parties unless reduced to writing and signed by an authorized officer of each Party.",0
5,USF may assign any accounts receivable due from Customer hereunder to any third party.,USF may not assign any accounts receivable due from Customer hereunder to any third party.,1
195957,"(a) Nephros may reject any Cartridge that does not meet the Specifications or otherwise comply with this agreement (any such Cartridge, a ""Nonconforming Cartridge"").","Whether or not the Indemnifying Party has assumed the defense of a Third Party Claim, the Indemnified Party shall not admit any liability with respect to, or settle, compromise or discharge, that Third Party Claim without the Indemnifying Party's prior written consent.",0
28936,"9.0 TERMINATION 9.1 Notwithstanding the term set forth in Section 8.1 above, this Agreement may be terminated prior to the expiration of the initial term (or any renewal term) as follows: a. AorTech shall have the option of terminating this Agreement immediately if Novoste B.V. fails to pay any amounts due and payable to AorTech in terms of this Agreement which remain due and unpaid for thirty (30) days after receiving written notices from AorTech that such amounts were unpaid, due and owing to AorTech.",DOLLARS ($1 Million) Or other sum to be agreed upon in writing.,0
75673,8.2 The Customer shall be allowed to return 48 x 40 fourway hardwood pallets and to receive credit for those returned as long as the Company is satisfied with the condition of such pallet.,8.2 The Customer shall not be allowed to return 48 x 40 fourway hardwood pallets and to receive credit for those returned as long as the Company is satisfied with the condition of such pallet.,1
38358,"If actual Discrepancy Reports are necessary for Chiron to comply with the requirements of the Regulatory Authorities in the Territory and Chiron has submitted such request to Cubist, thereafter, Cubist shall provide with each Lot the actual Discrepancy Reports (not merely the summaries thereof).","Chiron shall be responsible for the full cost of transportation, exportation and importation of such preshipment samples, including, without limitation, the cost of freight, postage, shipping, insurance and export or * CONFIDENTIAL TREATMENT REQUESTED: MATERIAL HAS BEEN OMITTED AND FILED WITH THE COMMISSION 15 import duties, and costs invoiced by Cubist Suppliers in order to fulfill such requests for preshipment samples.",0
99078,Supplier will promptly notify Buyer in writing should there be any failure to adhere to the representations and warranties as stated herein.,Supplier will not promptly notify Buyer in writing should there be any failure to adhere to the representations and warranties as stated herein.,1
99079,Supplier will only deliver the Products specified in a WA.,Supplier will not only deliver the Products specified in a WA.,1
139711,"If requested by Purchaser, 7UP/RC shall provide Purchaser with suitable evidence establishing that a cost increase did occur.","If requested by Purchaser, 7UP/RC shall not provide Purchaser with suitable evidence establishing that a cost increase did occur.",1
152693,"Upon request of WWI, CoPacker shall certify in writing to WWI that all such trademarks, trade names, and identifying marks have been removed from any rejected Products.","Upon request of WWI, CoPacker shall not certify in writing to WWI that all such trademarks, trade names, and identifying marks have been removed from any rejected Products.",1
139713,Purchaser shall be responsible for the actual cost of the Equipment.,Purchaser may be responsible for the actual cost of the Equipment.,1
174318,"(c) Foamtec shall fabricate such raw material into finished product at Foamtec's facility, utilizing Foamtec's personnel and the Equipment and Technology of AMFS, and shall resell such finished product to AMFS at a price equal to the price determined as set forth in Section 3.3(b), below.","Each Party shall indemnify, defend, and hold harmless the other Party (including those who have been, but no longer are, Parties) and its Affiliates from and against all loss, cost, liability and expense which may be imposed upon or reasonably incurred by the other Party or Affiliates, including reasonable attorneys' fees and disbursements and reasonable settlement payments, in connection with any claim, action, suit or proceeding or threat thereof, made or instituted in which the other Party or Affiliates may be involved or be made a party by reason of a breach of such Party's representations or covenants.",0
141551,Purchaser shall also be responsible for all property taxes on the equipment.,"The arbitration shall be heard by one arbitrator to be selected in accordance with the Rules, in Orange County, California.",0
77961,"Notwithstanding the foregoing, Ligand shall remain responsible for the Firm Commitment portion of the Rolling Forecast.","Notwithstanding the foregoing, Ligand shall not remain responsible for the Firm Commitment portion of the Rolling Forecast.",1
50234,"(iii) If such proposed change is being proposed by Cubist at any time after [*] has been obtained, then Cubist may proceed to implement such change [*] with respect to API or Filled Product for all countries in the Territory, PROVIDED that Cubist complies with all of the provisions set forth in this Section 3.2(a) with respect to those countries as to which Chiron has previously notified Cubist that such changes would require Regulatory Approval.","Upon written request by Chiron made upon or after placement of any Purchase Order, Cubist shall (a) provide to the Carrier, on a mutually agreed date in advance of the Delivery Date specified in such Purchase Order, preshipment samples from Lots manufactured for an order of Filled Product, and (b) as soon thereafter as reasonably practicable, provide Chiron with the associated Lot Documentation Package.",0
8503,"Upon reaching the stated end date of a deviated costing program, based on the vendor documentation described above, USF's pricing to Customer will revert to the regular price structure as described in Section 4 above.","Notwithstanding anything contained herein or in any other agreement to the contrary, to the extent there is any change in Customer's creditworthiness or financial capabilities (which shall include Customer's failure to pay invoices within payment terms and a reasonable period of time thereafter), or to the extent Customer experiences other circumstances which affect its ability to meet the payment terms established hereunder, USF shall have the right to change the terms outlined herein including, but not limited to, Customer's payment terms and service arrangements.",0
108004,"Hershey's production facility, exclusive of all sales, use, excise or other taxes, charges or assessments imposed on the purchase and resale of the Packaged Product, subject to only those changes described in paragraph (d) below and subject to the next sentence.","If Topps so requests Hershey's assistance, Topps shall be required to pay the capital costs for the equipment required to produce a new or changed product and Topps will retain ownership thereof.",0
162437,CoPacker will assume no costs of transportation and handling for such rejected Products.,CoPacker shall assume all costs of transportation and handling both ways for such rejected Products.,1
63806,(a) DELIVERY.,"After the Parties shall have reached agreement on the terms of such plan (or, in the event that the Parties cannot reach agreement as to the terms of such plan, Chiron shall have the right, acting reasonably and in good faith, to adopt another plan), Chiron shall implement such recall in a manner consistent with the terms of such plan.",0
108649,"(c) For the period from January 1, 1999 through December 31, 1999, Hershey shall sell the Packaged Product to Topps at the prices listed on Schedule D1999, F.O.B.","Schedule D1999 shall be established not later than November 15, 1998 and the differences between Schedule D1998 and Schedule D1999 shall reflect only (i) an aggregate maximum increase of 2.5% in the labor cost per case, not to exceed $110,000 in aggregate cost to Topps for the twelvemonth period and (ii) updated pricing on ingredients and packaging materials permitted under paragraph (d) below provided, however, that this updated pricing shall reflect changes in all ingredients and packaging materials (i.e.",0
27920,Overtime shall be defined as the number of hours worked beyond the normal work week.,"12.0 INDEMNITES 12.1 Novoste B.V. shall at all times indemnify and hold AorTech (and its respective directors, officers, employees and agents) harmless and upon request will defend the same against all actions, proceedings, claims, demands, losses, suits, outlays, damages, judgments, penalties or expenses of any kind or nature (including reasonable legal fees, other costs and amounts paid in settlement 11 11 with Novoste B.V.'s consent) which may be suffered or incurred by any of them arising out of any defect in any Product or any part thereof ; 12.2 AorTech shall at all times indemnify and hold Novoste B.V. (and its respective directors, officers, employees and agents) harmless and upon request will defend the same against all actions, proceedings, claims, demands, losses, suits, outlays, damages, judgments, penalties or expenses of any kind or nature (including reasonable legal fees, other costs and amounts paid in settlement with AorTech's consent) which may be suffered by any of them arising out of any failure by AorTech to exercise reasonable care in carrying out the tasks specified in 1.2 of this Agreement.",0
188008,"Nephros shall pay each such invoice in full within 45 Calendar Days from the date of invoice, unless Nephros has rejected the shipment in question in accordance with Section 4.2.","Nephros may pay each such invoice in full within 45 Calendar Days from the date of invoice, unless Nephros has rejected the shipment in question in accordance with Section 4.2.",1
139704,"At any time during the term of this Agreement, 7UP/RC shall not pass through and otherwise charge Purchaser for any cost increases for raw materials, labor or as a result of changes in specifications.","At any time during the term of this Agreement, 7UP/RC may pass through and otherwise charge Purchaser for any cost increases for raw materials, labor or as a result of changes in specifications.",1
123046,Cubist may also terminate this Agreement in the event that the FDA refuses to approve the Product.,Cubist may not terminate terminate this Agreement even in the event that the FDA refuses to approve the Product.,1
205821,"Whether or not the Indemnifying Party has assumed the defense of a Third Party Claim, the Indemnified Party shall not admit any liability with respect to, or settle, compromise or discharge, that Third Party Claim without the Indemnifying Party's prior written consent.","(b) In each case, a notice or other communication sent to a party must be directed to the address for that party set forth below, or to another address designated by that party by written notice.",0
162438,"CoPacker shall label all Products using artwork, graphics, and label copy that WWI may furnish.","CoPacker shall label all Products using artwork, graphics, and label copy that WWI shall furnish.",1
152694,CoPacker shall furnish to WWI without charge samples of the Products that WWI reasonably requests for quality control testing and evaluation.,CoPacker may furnish to WWI without charge samples of the Products that WWI reasonably requests for quality control testing and evaluation.,1
170666,"""EVENT OF DEFAULT"" shall have the meaning set forth in Section 7.1.","Promptly after receipt by a person or entity indemnified under any express provision of this Agreement (the ""Indemnified Party"") of notice of the commencement of any action against the Indemnified Party, such Indemnified Party shall give notice to the person or persons or entity or entities obligated to indemnify the Indemnified Party pursuant to the express provisions of this Agreement (the ""Indemnifying Party"").",0
195239,"On delivery by Medica of a shipment of Cartridges in accordance with Section 3.3, Medica shall issue to Nephros an invoice for that shipment stating a price consistent with the terms of this agreement.","The cost of any such arbitration will be divided equally between Nephros, on the one hand, and Medica, on the other hand, with each party bearing its own attorneys' fees and costs.",0
77955,Ligand shall qualify at least one (1) carrier to ship the Product to Cardinal Health.,Ligand may qualify at least one (1) carrier to ship the Product to Cardinal Health.,1
148298,"10 be agreed between the parties, which amount may include charges for setting up the required Special Service as well as the performance of the Special Service (the &quot;Special Service Fees&quot;).","Cinram reserves the right to refuse, without liability of any kind, acceptance of Fulfillment Products which, because of its condition, might cause, in Cinram's sole reasonable judgment, infestation, contamination or damage to the warehouse facility or to other goods in the custody of Cinram.",0
77956,Cardinal Health shall segregate and store all Product until acceptance as set forth in Section 5.1 above.,Cardinal Health shall not segregate and store all Product until acceptance as set forth in Section 5.1 above.,1
102742,Hershey may give Topps notice of any and all pricing changes promptly once Hershey learns of such changes and copies of the notices or invoices received from its vendor shall be forwarded along.,Hershey shall give Topps notice of all pricing changes promptly after Hershey learns of such changes along with copies of the notices or invoices received from its vendor.,1
17606,"INSURANCE CBSI shall secure and maintain in full force and effect throughout the performance of the Program policies of insurance for (a) Workmen's Compensation, (b) General Liability, (c) Automobile Liability, and (d) Professional Liability having policy limits, deductibles and other terms appropriate to the conduct of CBSI's business in CBSI's sole and exclusive judgment.","If CBSI shall fail to cure such default within the specified cure period or repeat the Program, as the case may be, then this Agreement shall, at Sponsor's option, immediately terminate.",0
76677,6.3 The Maximum Loss Allowance referred to herein shall not apply to any Production Run which is less than the minimum run and flavor quantity of ______Finished Case Goods rounded to formula yield.,"5 11.2 The Customer agrees that all business records and documents, including, but not limited to, notes, manuals, photographs or the like, and any copies thereof, provided to the Customer or kept or made by the Customer relating to the business of the Company shall remain the property of the Company.",0
200136,"d) Complaint investigations shall be a shared process between Medica (QA, Manufacturing, and Engineering) and Nephros (QA and R&D).","If the Indemnifying Party has timely disputed its liability with respect to the Claim, the Indemnifying Party and the Indemnified Party shall proceed in good faith to negotiate a resolution of the Claim and, if the Claim is not resolved through negotiations within 60 Business Days following receipt by the Indemnifying Party of notice of that Claim from the Indemnified Party, the Indemnified Party may take the dispute to arbitration pursuant to Section 14.5.",0
40540,"* CONFIDENTIAL TREATMENT REQUESTED: MATERIAL HAS BEEN OMITTED AND FILED WITH THE COMMISSION 4 1.38 ""PRODUCT SHORTAGE"" shall have the meaning assigned to such term in Section 8.2.",Chiron shall maintain all such records for a period of not less than five (5) years from the respective dates they were created or such longer period as may be required under Applicable Laws.,0
187292,The arbitration shall be conducted in the English language.,"3 5.3 GOVERNMENT APPROVALS: Foamtec shall, at its own expense, take whatever steps are required to satisfy the laws and requirements of the respective countries within respect to declaring, recording and otherwise rendering this Agreement valid.",0
